縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",9月底        在養數(隻)
新北市,683,695,101.76%,0,0.00%,38,5.56%,"1,358 "
臺北市,272,249,91.54%,6,2.21%,11,4.04%,691 
臺中市,539,255,47.31%,1,0.19%,50,9.28%,733 
臺南市,425,415,97.65%,0,0.00%,34,8.00%,631 
高雄市,339,261,76.99%,8,2.36%,39,11.50%,632 
桃園市,270,222,82.22%,0,0.00%,15,5.56%,420 
宜蘭縣,118,60,50.85%,4,3.39%,15,12.71%,298 
新竹縣,101,98,97.03%,1,0.99%,2,1.98%,34 
苗栗縣,142,78,54.93%,2,1.41%,17,11.97%,137 
彰化縣,33,41,124.24%,0,0.00%,2,6.06%,139 
南投縣,43,15,34.88%,1,2.33%,8,18.60%,326 
雲林縣,39,43,110.26%,0,0.00%,6,15.38%,221 
嘉義縣,11,9,81.82%,0,0.00%,1,9.09%,93 
屏東縣,35,21,60.00%,0,0.00%,11,31.43%,174 
臺東縣,61,62,101.64%,2,3.28%,0,0.00%,13 
花蓮縣,32,31,96.88%,0,0.00%,1,3.13%,93 
澎湖縣,27,13,48.15%,0,0.00%,3,11.11%,117 
基隆市,56,62,110.71%,0,0.00%,3,5.36%,97 
新竹市,21,18,85.71%,0,0.00%,2,9.52%,87 
嘉義市,46,44,95.65%,0,0.00%,1,2.17%,67 
金門縣,79,27,34.18%,0,0.00%,3,3.80%,61 
連江縣,1,2,200.00%,0,0.00%,0,0.00%,38 
合計," 3,373 "," 2,721 ",80.67%, 25 ,0.74%, 262 ,7.77%," 6,460 "
