縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",2月底        在養數(隻)
新北市,466,455,97.64%,0,0.00%,27,5.79%,"1,444 "
臺北市,226,215,95.13%,14,6.19%,10,4.42%,631 
臺中市,432,111,25.69%,11,2.55%,31,7.18%,597 
臺南市,659,559,84.83%,0,0.00%,65,9.86%,910 
高雄市,476,338,71.01%,0,0.00%,30,6.30%,643 
桃園市,339,351,103.54%,0,0.00%,17,5.01%,351 
宜蘭縣,187,63,33.69%,72,38.50%,28,14.97%,462 
新竹縣,14,18,128.57%,2,14.29%,2,14.29%,21 
苗栗縣,98,76,77.55%,1,1.02%,8,8.16%,51 
彰化縣,63,42,66.67%,0,0.00%,20,31.75%,108 
南投縣,37,36,97.30%,0,0.00%,3,8.11%,254 
雲林縣,44,17,38.64%,0,0.00%,3,6.82%,27 
嘉義縣,39,28,71.79%,0,0.00%,8,20.51%,78 
屏東縣,235,158,67.23%,0,0.00%,86,36.60%,167 
臺東縣,72,70,97.22%,1,1.39%,0,0.00%,2 
花蓮縣,63,28,44.44%,1,1.59%,1,1.59%,31 
澎湖縣,19,9,47.37%,1,5.26%,5,26.32%,94 
基隆市,62,68,109.68%,0,0.00%,3,4.84%,100 
新竹市,16,37,231.25%,0,0.00%,3,18.75%,109 
嘉義市,57,37,64.91%,0,0.00%,0,0.00%,19 
金門縣,78,27,34.62%,0,0.00%,5,6.41%,52 
連江縣,0,0,0.00%,0,0.00%,1,0.00%,33 
合計," 3,682 "," 2,743 ",74.50%, 103 ,2.80%, 356 ,9.67%," 6,184 "
