縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",12月底        在養數(隻)
新北市,584,564,96.58%,0,0.00%,46,7.88%,"1,379 "
臺北市,222,240,108.11%,1,0.45%,35,15.77%,670 
臺中市,540,532,98.52%,0,0.00%,41,7.59%,451 
臺南市,282,377,133.69%,0,0.00%,26,9.22%,365 
高雄市,393,276,70.23%,0,0.00%,35,8.91%,574 
桃園市,159,132,83.02%,1,0.63%,12,7.55%,405 
宜蘭縣,132,74,56.06%,2,1.52%,8,6.06%,308 
新竹縣,24,23,95.83%,1,4.17%,2,8.33%,40 
苗栗縣,79,49,62.03%,1,1.27%,14,17.72%,137 
彰化縣,19,23,121.05%,0,0.00%,10,52.63%,137 
南投縣,19,33,173.68%,1,5.26%,1,5.26%,314 
雲林縣,80,71,88.75%,0,0.00%,5,6.25%,250 
嘉義縣,13,4,30.77%,0,0.00%,7,53.85%,119 
屏東縣,75,70,93.33%,0,0.00%,0,0.00%,177 
臺東縣,30,46,153.33%,2,6.67%,0,0.00%,12 
花蓮縣,30,25,83.33%,0,0.00%,1,3.33%,89 
澎湖縣,23,31,134.78%,0,0.00%,2,8.70%,104 
基隆市,62,80,129.03%,0,0.00%,7,11.29%,88 
新竹市,20,22,110.00%,1,5.00%,0,0.00%,79 
嘉義市,47,32,68.09%,0,0.00%,3,6.38%,36 
金門縣,80,20,25.00%,0,0.00%,5,6.25%,64 
連江縣,1,0,0.00%,0,0.00%,0,0.00%,40 
合計," 2,914 "," 2,724 ",93.48%, 10 ,0.34%, 260 ,8.92%," 5,838 "
