縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",5月底        在養數(隻)
新北市,759,600,79.05%,0,0.00%,32,4.22%,"1,700 "
臺北市,287,221,77.00%,24,8.36%,15,5.23%,686 
臺中市,532,215,40.41%,5,0.94%,96,18.05%,974 
臺南市,605,532,87.93%,0,0.00%,39,6.45%,645 
高雄市,320,378,118.13%,0,0.00%,28,8.75%,647 
桃園市,246,160,65.04%,0,0.00%,15,6.10%,324 
宜蘭縣,135,85,62.96%,4,2.96%,43,31.85%,322 
新竹縣,59,46,77.97%,0,0.00%,3,5.08%,36 
苗栗縣,143,91,63.64%,0,0.00%,7,4.90%,104 
彰化縣,65,44,67.69%,0,0.00%,7,10.77%,123 
南投縣,85,70,82.35%,0,0.00%,5,5.88%,272 
雲林縣,90,39,43.33%,0,0.00%,8,8.89%,124 
嘉義縣,16,8,50.00%,0,0.00%,6,37.50%,81 
屏東縣,108,64,59.26%,0,0.00%,43,39.81%,158 
臺東縣,135,124,91.85%,3,2.22%,0,0.00%,12 
花蓮縣,69,57,82.61%,0,0.00%,7,10.14%,89 
澎湖縣,41,35,85.37%,4,9.76%,3,7.32%,87 
基隆市,97,79,81.44%,0,0.00%,12,12.37%,116 
新竹市,37,24,64.86%,2,5.41%,7,18.92%,96 
嘉義市,79,59,74.68%,0,0.00%,2,2.53%,46 
金門縣,54,28,51.85%,1,1.85%,3,5.56%,42 
連江縣,2,0,0.00%,0,0.00%,0,0.00%,34 
合計," 3,964 "," 2,959 ",74.65%, 43 ,1.08%, 381 ,9.61%," 6,718 "
