縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",2月底        在養數(隻)
新北市,314,401,127.71%,0,0.00%,26,8.28%,"1,220 "
臺北市,153,129,84.31%,0,0.00%,11,7.19%,746 
臺中市,358,174,48.60%,3,0.84%,49,13.69%,612 
臺南市,398,292,73.37%,0,0.00%,12,3.02%,372 
高雄市,264,171,64.77%,0,0.00%,26,9.85%,655 
桃園市,97,91,93.81%,5,5.15%,12,12.37%,396 
宜蘭縣,83,41,49.40%,2,2.41%,8,9.64%,274 
新竹縣,22,10,45.45%,0,0.00%,0,0.00%,39 
苗栗縣,66,22,33.33%,11,16.67%,9,13.64%,73 
彰化縣,14,14,100.00%,0,0.00%,1,7.14%,127 
南投縣,5,8,160.00%,0,0.00%,2,40.00%,309 
雲林縣,44,22,50.00%,0,0.00%,7,15.91%,282 
嘉義縣,12,17,141.67%,0,0.00%,1,8.33%,98 
屏東縣,14,15,107.14%,0,0.00%,0,0.00%,168 
臺東縣,22,25,113.64%,0,0.00%,0,0.00%,17 
花蓮縣,10,15,150.00%,0,0.00%,0,0.00%,90 
澎湖縣,32,44,137.50%,5,15.63%,3,9.38%,115 
基隆市,27,18,66.67%,0,0.00%,7,25.93%,76 
新竹市,8,18,225.00%,0,0.00%,0,0.00%,77 
嘉義市,5,26,520.00%,0,0.00%,0,0.00%,9 
金門縣,32,22,68.75%,0,0.00%,3,9.38%,37 
連江縣,0,0,0.00%,0,0.00%,2,0.00%,38 
合計," 1,980 "," 1,575 ",79.55%, 26 ,1.31%, 179 ,9.04%," 5,830 "
