縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",10月底        在養數(隻)
新北市,671,607,90.46%,0,0.00%,36,5.37%,"1,384 "
臺北市,256,261,101.95%,1,0.39%,4,1.56%,676 
臺中市,483,348,72.05%,2,0.41%,32,6.63%,719 
臺南市,418,453,108.37%,0,0.00%,22,5.26%,572 
高雄市,398,292,73.37%,0,0.00%,39,9.80%,611 
桃園市,316,219,69.30%,5,1.58%,21,6.65%,484 
宜蘭縣,99,60,60.61%,3,3.03%,17,17.17%,278 
新竹縣,20,25,125.00%,0,0.00%,1,5.00%,28 
苗栗縣,94,86,91.49%,5,5.32%,10,10.64%,127 
彰化縣,48,39,81.25%,0,0.00%,1,2.08%,147 
南投縣,21,23,109.52%,3,14.29%,5,23.81%,316 
雲林縣,32,37,115.63%,0,0.00%,2,6.25%,213 
嘉義縣,31,25,80.65%,1,3.23%,2,6.45%,96 
屏東縣,67,41,61.19%,0,0.00%,14,20.90%,186 
臺東縣,49,46,93.88%,0,0.00%,1,2.04%,15 
花蓮縣,32,28,87.50%,1,3.13%,0,0.00%,96 
澎湖縣,37,31,83.78%,5,13.51%,4,10.81%,114 
基隆市,56,45,80.36%,0,0.00%,1,1.79%,107 
新竹市,24,23,95.83%,0,0.00%,3,12.50%,85 
嘉義市,15,24,160.00%,0,0.00%,5,33.33%,53 
金門縣,58,20,34.48%,0,0.00%,4,6.90%,70 
連江縣,0,0,0.00%,0,0.00%,0,0.00%,38 
合計," 3,225 "," 2,733 ",84.74%, 26 ,0.81%, 224 ,6.95%," 6,415 "
