縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",4月底        在養數(隻)
新北市,665,550,82.71%,0,0.00%,31,4.66%,"1,585 "
臺北市,298,253,84.90%,16,5.37%,21,7.05%,662 
臺中市,519,249,47.98%,9,1.73%,98,18.88%,828 
臺南市,452,484,107.08%,0,0.00%,44,9.73%,612 
高雄市,474,406,85.65%,0,0.00%,46,9.70%,782 
桃園市,246,179,72.76%,0,0.00%,5,2.03%,276 
宜蘭縣,121,78,64.46%,5,4.13%,31,25.62%,357 
新竹縣,41,39,95.12%,1,2.44%,3,7.32%,27 
苗栗縣,120,86,71.67%,1,0.83%,15,12.50%,70 
彰化縣,39,27,69.23%,0,0.00%,9,23.08%,110 
南投縣,59,53,89.83%,0,0.00%,3,5.08%,262 
雲林縣,44,47,106.82%,0,0.00%,11,25.00%,81 
嘉義縣,21,15,71.43%,0,0.00%,6,28.57%,83 
屏東縣,99,59,59.60%,0,0.00%,38,38.38%,157 
臺東縣,148,141,95.27%,4,2.70%,1,0.68%,4 
花蓮縣,53,34,64.15%,0,0.00%,11,20.75%,85 
澎湖縣,29,13,44.83%,0,0.00%,1,3.45%,93 
基隆市,66,59,89.39%,0,0.00%,2,3.03%,111 
新竹市,15,20,133.33%,0,0.00%,0,0.00%,92 
嘉義市,63,60,95.24%,0,0.00%,5,7.94%,28 
金門縣,35,26,74.29%,0,0.00%,6,17.14%,52 
連江縣,2,1,50.00%,0,0.00%,0,0.00%,32 
合計," 3,609 "," 2,879 ",79.77%, 36 ,1.00%, 387 ,10.72%," 6,389 "
