縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",7月底        在養數(隻)
新北市,673,746,110.85%,0,0.00%,43,6.39%,"1,562 "
臺北市,270,267,98.89%,39,14.44%,13,4.81%,673 
臺中市,511,419,82.00%,1,0.20%,74,14.48%,979 
臺南市,636,635,99.84%,0,0.00%,55,8.65%,699 
高雄市,411,303,73.72%,0,0.00%,42,10.22%,569 
桃園市,316,243,76.90%,7,2.22%,19,6.01%,427 
宜蘭縣,112,85,75.89%,2,1.79%,7,6.25%,304 
新竹縣,43,49,113.95%,0,0.00%,4,9.30%,35 
苗栗縣,88,77,87.50%,5,5.68%,10,11.36%,95 
彰化縣,53,47,88.68%,0,0.00%,3,5.66%,139 
南投縣,88,40,45.45%,0,0.00%,10,11.36%,324 
雲林縣,59,15,25.42%,0,0.00%,1,1.69%,200 
嘉義縣,30,22,73.33%,0,0.00%,2,6.67%,108 
屏東縣,51,51,100.00%,0,0.00%,2,3.92%,152 
臺東縣,128,127,99.22%,0,0.00%,0,0.00%,10 
花蓮縣,30,29,96.67%,2,6.67%,0,0.00%,95 
澎湖縣,29,14,48.28%,4,13.79%,7,24.14%,115 
基隆市,67,67,100.00%,0,0.00%,11,16.42%,94 
新竹市,20,24,120.00%,3,15.00%,1,5.00%,88 
嘉義市,51,44,86.27%,0,0.00%,4,7.84%,57 
金門縣,59,22,37.29%,0,0.00%,3,5.08%,62 
連江縣,3,0,0.00%,0,0.00%,0,0.00%,38 
合計," 3,728 "," 3,326 ",89.22%, 63 ,1.69%, 311 ,8.34%," 6,825 "
