縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",11月底        在養數(隻)
新北市,736,660,89.67%,0,0.00%,25,3.40%,"1,413 "
臺北市,290,219,75.52%,0,0.00%,15,5.17%,730 
臺中市,424,282,66.51%,4,0.94%,30,7.08%,665 
臺南市,572,631,110.31%,0,0.00%,26,4.55%,487 
高雄市,442,319,72.17%,0,0.00%,37,8.37%,613 
桃園市,149,207,138.93%,2,1.34%,9,6.04%,399 
宜蘭縣,156,89,57.05%,3,1.92%,18,11.54%,284 
新竹縣,38,23,60.53%,0,0.00%,1,2.63%,42 
苗栗縣,143,58,40.56%,3,2.10%,7,4.90%,147 
彰化縣,37,30,81.08%,0,0.00%,3,8.11%,151 
南投縣,60,39,65.00%,2,3.33%,5,8.33%,330 
雲林縣,60,23,38.33%,0,0.00%,2,3.33%,246 
嘉義縣,28,6,21.43%,0,0.00%,1,3.57%,117 
屏東縣,163,169,103.68%,0,0.00%,8,4.91%,172 
臺東縣,77,62,80.52%,0,0.00%,0,0.00%,30 
花蓮縣,31,37,119.35%,1,3.23%,4,12.90%,85 
澎湖縣,61,46,75.41%,3,4.92%,8,13.11%,117 
基隆市,69,56,81.16%,0,0.00%,7,10.14%,113 
新竹市,20,19,95.00%,2,10.00%,2,10.00%,82 
嘉義市,31,58,187.10%,1,3.23%,0,0.00%,25 
金門縣,58,32,55.17%,0,0.00%,1,1.72%,57 
連江縣,1,0,0.00%,0,0.00%,0,0.00%,39 
合計," 3,646 "," 3,065 ",84.06%, 21 ,0.58%, 209 ,5.73%," 6,344 "
