縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",8月底        在養數(隻)
新北市,596,676,113.42%,0,0.00%,51,8.56%,"1,415 "
臺北市,295,252,85.42%,17,5.76%,9,3.05%,687 
臺中市,462,345,74.68%,2,0.43%,63,13.64%,710 
臺南市,449,468,104.23%,0,0.00%,24,5.35%,655 
高雄市,445,279,62.70%,0,0.00%,36,8.09%,661 
桃園市,233,225,96.57%,0,0.00%,19,8.15%,405 
宜蘭縣,122,72,59.02%,5,4.10%,14,11.48%,296 
新竹縣,0,0,0.00%,0,0.00%,0,0.00%,35 
苗栗縣,81,66,81.48%,3,3.70%,9,11.11%,95 
彰化縣,67,56,83.58%,0,0.00%,1,1.49%,149 
南投縣,42,46,109.52%,0,0.00%,13,30.95%,307 
雲林縣,69,36,52.17%,0,0.00%,1,1.45%,231 
嘉義縣,28,41,146.43%,0,0.00%,3,10.71%,92 
屏東縣,95,64,67.37%,0,0.00%,12,12.63%,171 
臺東縣,131,122,93.13%,2,1.53%,1,0.76%,16 
花蓮縣,25,25,100.00%,1,4.00%,0,0.00%,94 
澎湖縣,44,27,61.36%,12,27.27%,9,20.45%,111 
基隆市,74,57,77.03%,0,0.00%,5,6.76%,106 
新竹市,28,29,103.57%,1,3.57%,0,0.00%,86 
嘉義市,74,58,78.38%,0,0.00%,5,6.76%,67 
金門縣,66,28,42.42%,0,0.00%,3,4.55%,61 
連江縣,1,0,0.00%,0,0.00%,0,0.00%,39 
合計," 3,427 "," 2,972 ",86.72%, 43 ,1.25%, 278 ,8.11%," 6,489 "
