縣市別,"收容隻數
(隻)*","認領養數
(隻)    ","認領養率
(%)*  ","依法人道處理數
(隻)","依法人道處理率
(%)*","所內死亡數
(隻)","所內死亡率
(%)*",1月底        在養數(隻)
新北市,579,579,100.00%,0,0.00%,38,6.56%,"1,337 "
臺北市,233,147,63.09%,0,0.00%,15,6.44%,740 
臺中市,607,172,28.34%,0,0.00%,58,9.56%,663 
臺南市,590,335,56.78%,0,0.00%,15,2.54%,407 
高雄市,391,283,72.38%,0,0.00%,33,8.44%,615 
桃園市,214,177,82.71%,1,0.47%,10,4.67%,419 
宜蘭縣,112,64,57.14%,5,4.46%,22,19.64%,285 
新竹縣,26,35,134.62%,0,0.00%,3,11.54%,28 
苗栗縣,70,45,64.29%,4,5.71%,24,34.29%,78 
彰化縣,12,16,133.33%,0,0.00%,4,33.33%,128 
南投縣,22,17,77.27%,1,4.55%,3,13.64%,315 
雲林縣,74,53,71.62%,0,0.00%,3,4.05%,268 
嘉義縣,31,40,129.03%,0,0.00%,6,19.35%,104 
屏東縣,13,21,161.54%,0,0.00%,0,0.00%,169 
臺東縣,40,28,70.00%,3,7.50%,1,2.50%,20 
花蓮縣,49,34,69.39%,0,0.00%,8,16.33%,96 
澎湖縣,57,16,28.07%,2,3.51%,6,10.53%,135 
基隆市,48,54,112.50%,0,0.00%,6,12.50%,76 
新竹市,35,21,60.00%,3,8.57%,3,8.57%,87 
嘉義市,30,35,116.67%,0,0.00%,1,3.33%,30 
金門縣,72,33,45.83%,1,1.39%,2,2.78%,58 
連江縣,4,4,100.00%,0,0.00%,0,0.00%,40 
合計," 3,309 "," 2,209 ",66.76%, 20 ,0.60%, 261 ,7.89%," 6,098 "
